category,Name,Description,Link,Quantity,Price,total
Camera (computer vision),Raspberry Pi 5 4GB,Main controller for Arduino/ESP32/RPi cam,,1,,
Camera (computer vision),RPi Camera Module 3 (12MP),Bacterial colony scanning on petri dish,,1,,
Camera (computer vision),ESP32-CAM module,QR scanning at SCARA end effector,,1,,
Camera (computer vision),microSD card 32GB,Boot storage for RPi 5,,1,,
SCARA bot,NEMA17 stepper motor,SCARA joint actuation,,5,,
SCARA bot,Stepper motor driver (TMC2209/A4988),Driver per stepper axis,,5,,
SCARA bot,Micro servo (end effector),Wrist/gripper actuation,,1,,
SCARA bot,Arduino Nano,SCARA motion control,,1,,
SCARA bot,CNC shield / driver breakout board,Mounts drivers + Nano,,1,,
SCARA bot,Timing belt + pulleys,Joint drive transmission,,1,,
SCARA bot,Limit switches,Homing/end-stop per axis,,5,,
Carrousal,High torque servo (20kg-cm+),Carousel indexing/rotation,,1,,
Carrousal,Bearing (carousel turntable),Support carousel rotation,,1,,
Carrousal,Petri dish holder inserts,Slots for samples on carousel,,1,,
Power unit,Step-down transformer,Mains to low-voltage AC,,1,,
Power unit,Bridge rectifier + smoothing capacitor,AC to DC conversion,,1,,
Power unit,Buck converter 12V (steppers),12V regulated rail for steppers,,1,,
Power unit,Buck converter 6V (servos),6V regulated rail for servos,,1,,
Power unit,Buck converter 5V/6A (logic),5V rail for Pi5/ESP32/Nano,,1,,
Power unit,Fuse + power switch,Circuit protection,,1,,
Power unit,Wiring/terminal blocks,Power distribution,,1,,
